symbol, name, sector, price, day_open_price, day_previous_close_price, volume, value_lakhs, vwap, beta, day_high_price, day_low_price, uc_limit, lc_limit, week_52_high, week_52_low, ttm_eps, ttm_pe, sector_pe, sector_pb, sector_dividend_yield, book_value_per_share, pb, face_value, market_cap_crores, dividend_yeild, avg_volume_20D, avg_delivery_percent_20D, tt_intrinsic_value_commentary, tt_returns_vs_fd_rates_commentary, tt_dividend_returns_commentary, tt_entry_pont_commentary, tt_red_flags_commentary
ICICIGI, ICICI Lombard General Insurance Company Ltd., Diversified, 1420.05, 1423.60, 1420.95, 277090.0, 3934.82, 1417.55, 0.71, 1429.50, 1406.90, 1563.00, 1278.90, 1675.00, 1295.00, 25.63, 55.41, 30.46, 2.43, 0.59%, 166.12, 8.55, 10, 69683, 0.56, 698558.0, 65.21, "Current price is more than the intrinsic value", "Stock has been generating better return on equity than bank FD", "Stock doesn't offer attractive dividend returns", "Good time to consider, as stock is not in overbought zone", "Stock not in ASM/GSM lists and not a lot of promoter holding is pledged"
IDFCFIRSTB, IDFC First Bank Ltd., Banks - Private Sector, 50.80, 50.80, 51.10, 11452296.0, 5817.77, 50.54, 1.20, 51.25, 50.00, 56.20, 46.00, 69.30, 32.90, -0.38, 0, 30.47, 2.43, 0.59%, 31.03, 1.64, 10, 31566, 0, 24579262.0, 27.19, "Insufficient Data", "Stock has not been able to generate better return on equity than bank FD", "Stock doesn't offer attractive dividend returns", "Good time to consider, as stock is not in overbought zone", "Stock not in ASM/GSM lists and not a lot of promoter holding is pledged"
IOC, Indian Oil Corporation Ltd., Refineries, 117.95, 119.00, 118.30, 6730470.0, 7938.59, 118.30, 0.89, 119.20, 117.70, 130.10, 106.50, 141.50, 84.20, 27.30, 4.32, 24.14, 1.81, 1.97%, 120.08, 0.99, 10, 111040, 10.17, 9983042.0, 46.97, "Current price is less than the intrinsic value", "Stock has been generating better return on equity than bank FD", "Stock offers good dividend returns", "Good time to consider, as stock is not in overbought zone", "Stock not in ASM/GSM lists and not a lot of promoter holding is pledged"
INFY, Infosys Ltd., Computers - Software, 1752.05, 1730.90, 1744.65, 2180952.0, 38211.37, 1739.60, 0.72, 1754.75, 1710.35, 1919.10, 1570.20, 1848.00, 1148.20, 49.67, 35.27, 41.06, 9.50, 1.03%, 181.64, 9.65, 5, 736831, 1.54, 5311838.0, 67.85, "Current price is more than the intrinsic value", "Stock has been generating better return on equity than bank FD", "Stock offers good dividend returns", "Good time to consider, as stock is not in overbought zone", "Stock not in ASM/GSM lists and not a lot of promoter holding is pledged"
INDIGO, Interglobe Aviation Ltd., Transport & Logistics, 1976.90, 1990.00, 2010.30, 736579.0, 14561.43, 1995.53, 1.12, 2025.00, 1961.05, 2211.30, 1809.30, 2380.00, 1425.00, -165.56, 0, 42.16, 5.53, 0.67%, 1.82, 1086.21, 10, 76148, 0, 1151428.0, 25.13, "Insufficient Data", "Stock has not been able to generate better return on equity than bank FD", "Stock doesn't offer attractive dividend returns", "Good time to consider, as stock is not in overbought zone", "Stock not in ASM/GSM lists and not a lot of promoter holding is pledged"
ITC, ITC Ltd., Cigarettes, 232.10, 235.00, 234.60, 23660282.0, 54915.51, 233.00, 0.85, 237.10, 229.15, 258.05, 211.15, 265.30, 196.90, 11.58, 20.04, 22.04, 9.90, 1.75%, 47.87, 4.85, 1, 286002, 4.63, 21856465.0, 43.07, "Current price is less than the intrinsic value", "Stock has been generating better return on equity than bank FD", "Stock offers good dividend returns", "Good time to consider, as stock is not in overbought zone", "Stock not in ASM/GSM lists and not a lot of promoter holding is pledged"
M&M, Mahindra and Mahindra Ltd., Auto - Cars & Jeeps, 834.60, 840.00, 843.10, 1025853.0, 8561.77, 832.38, 1.19, 841.95, 826.00, 927.40, 758.80, 979.00, 660.25, 33.20, 25.14, 73.76, 5.48, 0.65%, 405.92, 2.06, 5, 103756, 1.05, 3733580.0, 48.61, "Current price is more than the intrinsic value", "Stock has been generating better return on equity than bank FD", "Stock doesn't offer attractive dividend returns", "Good time to consider, as stock is not in overbought zone", "Stock not in ASM/GSM lists and not a lot of promoter holding is pledged"
MARUTI, Maruti Suzuki India Ltd., Auto - Cars & Jeeps, 7508.20, 7516.80, 7516.40, 529159.0, 39730.32, 7521.40, 0.80, 7556.30, 7463.05, 8268.00, 6764.80, 8368.00, 6400.00, 139.03, 54.00, 73.76, 5.48, 0.65%, 1737.97, 4.33, 5, 226807, 0.60, 982061.0, 36.34, "Current price is more than the intrinsic value", "Stock has been generating better return on equity than bank FD", "Stock doesn't offer attractive dividend returns", "Good time to consider, as stock is not in overbought zone", "Stock not in ASM/GSM lists and not a lot of promoter holding is pledged"
MUTHOOTFIN, Muthoot Finance Ltd., Finance - Investments, 1470.40, 1490.00, 1490.70, 389725.0, 5730.52, 1466.15, 0.98, 1490.00, 1453.55, 1639.75, 1341.65, 1721.95, 1090.00, 99.79, 14.73, 54.47, 2.43, 0.59%, 392.43, 3.75, 10, 59010, 1.36, 827170.0, 43.1, "Current price is less than the intrinsic value", "Stock has been generating better return on equity than bank FD", "Stock offers good dividend returns", "Good time to consider, as stock is not in overbought zone", "Stock not in ASM/GSM lists and not a lot of promoter holding is pledged"
NTPC, NTPC Ltd., Power - Generation & Distribution, 126.10, 125.00, 125.80, 6349103.0, 8006.22, 126.29, 0.88, 127.45, 125.00, 138.35, 113.25, 152.10, 88.15, 15.80, 7.98, 23.40, 2.96, 2.49%, 133.31, 0.95, 10, 122274, 4.88, 12053802.0, 50.71, "Current price is less than the intrinsic value", "Stock has been generating better return on equity than bank FD", "Stock offers good dividend returns", "Good time to consider, as stock is not in overbought zone", "Stock not in ASM/GSM lists and not a lot of promoter holding is pledged"
PETRONET, Petronet LNG Ltd., Oil Drilling And Exploration, 222.00, 224.25, 225.15, 1419554.0, 3151.41, 222.62, 0.59, 225.60, 221.10, 247.65, 202.65, 275.35, 211.40, 20.05, 11.07, 24.14, 1.81, 1.97%, 78.71, 2.83, 10, 33300, 5.18, 2277419.0, 61.44, "Current price is less than the intrinsic value", "Stock has been generating better return on equity than bank FD", "Stock offers good dividend returns", "Good time to consider, as stock is not in overbought zone", "Stock not in ASM/GSM lists and not a lot of promoter holding is pledged"
PFC, Power Finance Corporation Ltd., Finance - Term Lending Institutions, 123.00, 122.95, 123.25, 1234255.0, 1518.13, 123.08, 1.11, 123.85, 122.35, 135.55, 110.95, 153.75, 104.10, 49.41, 2.49, 4.67, 2.43, 0.59%, 309.80, 0.40, 10, 32473, 8.13, 4094319.0, 44.34, "Current price is less than the intrinsic value", "Stock has been generating better return on equity than bank FD", "Stock offers good dividend returns", "Good time to consider, as stock is not in overbought zone", "Stock not in ASM/GSM lists and not a lot of promoter holding is pledged"
POWERGRID, Power Grid Corporation of India Ltd., Power - Generation & Distribution, 212.25, 204.10, 204.40, 28334915.0, 60140.86, 209.05, 0.77, 212.70, 203.20, 224.80, 184.00, 216.45, 136.88, 23.32, 9.10, 12.51, 2.96, 2.49%, 100.26, 2.12, 10, 148053, 5.65, 14572853.0, 56.27, "Current price is less than the intrinsic value", "Stock has been generating better return on equity than bank FD", "Stock offers good dividend returns", "Good time to consider, as stock is not in overbought zone", "Stock not in ASM/GSM lists and not a lot of promoter holding is pledged"
SBICARD, SBI Cards & Payment Services Ltd., Finance Term Lending, 901.75, 920.00, 920.65, 2677559.0, 24144.89, 903.78, 0.77, 920.65, 898.00, 1012.70, 828.60, 1165.00, 799.00, 10.97, 82.20, 54.47, 2.43, 0.59%, 66.44, 13.58, 10, 85012, 0, 2143989.0, 60.05, "Current price is more than the intrinsic value", "Stock has been generating better return on equity than bank FD", "Insufficient Data", "Good time to consider, as stock is not in overbought zone", "Stock not in ASM/GSM lists and not a lot of promoter holding is pledged"
SBIN, State Bank of India, Banks - Public Sector, 488.50, 486.00, 487.80, 7507296.0, 36673.14, 485.91, 1.45, 489.90, 481.80, 536.55, 439.05, 542.30, 248.25, 32.11, 15.21, 20.96, 2.43, 0.59%, 293.13, 1.67, 1, 435967, 0.82, 17913952.0, 32.9, "Current price is less than the intrinsic value", "Stock has not been able to generate better return on equity than bank FD", "Stock doesn't offer attractive dividend returns", "Good time to consider, as stock is not in overbought zone", "Stock not in ASM/GSM lists and not a lot of promoter holding is pledged"
TCS, Tata Consultancy Services Ltd., Computers - Software, 3625.25, 3605.00, 3609.65, 985609.0, 35730.79, 3613.57, 0.64, 3632.90, 3576.70, 3970.60, 3248.70, 3989.90, 2755.00, 98.89, 36.66, 41.06, 9.50, 1.03%, 235.49, 15.40, 1, 1340998, 1.05, 2245134.0, 64.55, "Current price is more than the intrinsic value", "Stock has been generating better return on equity than bank FD", "Stock offers good dividend returns", "Good time to consider, as stock is not in overbought zone", "Stock not in ASM/GSM lists and not a lot of promoter holding is pledged"
TATAMOTORS, Tata Motors Ltd., Auto - LCVs & HCVs, 490.10, 491.95, 495.35, 12894016.0, 63193.57, 487.47, 1.81, 491.95, 483.30, 544.85, 445.85, 536.70, 156.70, -40.93, 0, 51.36, 5.48, 0.65%, 170.81, 2.87, 2, 162740, 0, 29324861.0, 21.1, "Current price is more than the intrinsic value", "Stock has not been able to generate better return on equity than bank FD", "Stock doesn't offer attractive dividend returns", "Good time to consider, as stock is not in overbought zone", "Stock not in ASM/GSM lists and not a lot of promoter holding is pledged"
TECHM, Tech Mahindra Ltd., Computers - Software, 1658.20, 1640.00, 1638.15, 1694428.0, 28097.01, 1644.22, 0.84, 1661.70, 1625.65, 1801.95, 1474.35, 1661.70, 890.00, 52.39, 31.65, 41.06, 9.50, 1.03%, 260.68, 6.37, 5, 160916, 2.71, 2385054.0, 44.91, "Current price is more than the intrinsic value", "Stock has been generating better return on equity than bank FD", "Stock offers good dividend returns", "Good time to consider, as stock is not in overbought zone", "Stock not in ASM/GSM lists and not a lot of promoter holding is pledged"
TVSMOTOR, TVS Motor Company Ltd., Auto - 2 & 3 Wheelers, 660.75, 676.65, 675.30, 832957.0, 5503.76, 663.28, 0.78, 676.65, 658.40, 742.80, 607.80, 813.95, 445.50, 17.37, 38.04, 22.63, 5.48, 0.65%, 88.71, 7.45, 1, 31391, 0.53, 1747662.0, 42.8, "Current price is more than the intrinsic value", "Stock has been generating better return on equity than bank FD", "Stock doesn't offer attractive dividend returns", "Good time to consider, as stock is not in overbought zone", "Stock not in ASM/GSM lists and not a lot of promoter holding is pledged"
ULTRACEMCO, UltraTech Cement Ltd., Cement - Major, 7372.50, 7409.00, 7414.45, 108885.0, 8027.55, 7387.03, 0.94, 7458.90, 7337.10, 8155.85, 6673.05, 8269.00, 4865.45, 220.76, 33.40, 39.12, 3.56, 1.23%, 1530.51, 4.82, 10, 212818, 0.50, 277973.0, 47.8, "Current price is more than the intrinsic value", "Stock has been generating better return on equity than bank FD", "Stock doesn't offer attractive dividend returns", "Good time to consider, as stock is not in overbought zone", "Stock not in ASM/GSM lists and not a lot of promoter holding is pledged"
UPL, UPL Ltd., Chemicals, 745.45, 733.60, 740.40, 824561.0, 6146.69, 742.37, 0.84, 746.60, 733.60, 814.40, 666.40, 864.70, 417.00, 41.46, 17.98, 57.71, 3.56, 1.23%, 282.62, 2.64, 2, 56955, 1.34, 2541245.0, 33.24, "Insufficient Data", "Stock has been generating better return on equity than bank FD", "Stock doesn't offer attractive dividend returns", "Good time to consider, as stock is not in overbought zone", "Stock not in ASM/GSM lists and not a lot of promoter holding is pledged"
VGUARD, V-Guard Industries Ltd., Electric Equipment, 235.00, 239.10, 236.65, 297005.0, 697.96, 236.82, 0.31, 240.00, 234.65, 283.95, 189.35, 285.00, 177.95, 5.35, 43.93, 78.77, 5.53, 0.67%, 28.22, 8.33, 1, 10126, 0.51, 444100.0, 46.05, "Current price is more than the intrinsic value", "Stock has been generating better return on equity than bank FD", "Stock doesn't offer attractive dividend returns", "Good time to consider, as stock is not in overbought zone", "Stock not in ASM/GSM lists and not a lot of promoter holding is pledged"
IDEA, Vodafone Idea Ltd., Telecommunications - Service, 15.45, 15.35, 15.50, 221503764.0, 34222.33, 15.56, 1.00, 16.10, 15.20, 17.05, 13.95, 16.80, 4.55, -9.05, 0, 50.74, 13.64, 1.30%, -13.32, 0, 10, 44396, 0, 577686322.0, 27.12, "Insufficient Data", "Insufficient Data", "Stock doesn't offer attractive dividend returns", "Good time to consider, as stock is not in overbought zone", "Stock not in ASM/GSM lists and not a lot of promoter holding is pledged"
VOLTAS, Voltas Ltd., Diversified, 1230.20, 1231.70, 1233.45, 226003.0, 2780.29, 1228.88, 0.93, 1237.80, 1219.20, 1356.75, 1110.15, 1356.90, 768.40, 17.86, 68.88, 71.55, 5.53, 0.67%, 152.00, 8.10, 1, 40705, 0.41, 744669.0, 51.4, "Current price is more than the intrinsic value", "Stock has been generating better return on equity than bank FD", "Stock doesn't offer attractive dividend returns", "Good time to consider, as stock is not in overbought zone", "Stock not in ASM/GSM lists and not a lot of promoter holding is pledged"
WHIRLPOOL, Whirlpool of India. Ltd., Consumer Goods - White Goods, 1902.00, 1898.00, 1898.30, 139645.0, 2656.05, 1897.39, 0.45, 1921.60, 1880.00, 2088.10, 1708.50, 2787.00, 1812.30, 50.45, 37.70, 108.52, 5.48, 0.65%, 225.29, 8.45, 10, 24131, 0.26, 405795.0, 49.57, "Current price is more than the intrinsic value", "Stock has been generating better return on equity than bank FD", "Stock doesn't offer attractive dividend returns", "Good time to consider, as stock is not in overbought zone", "Stock not in ASM/GSM lists and not a lot of promoter holding is pledged"
WIPRO, Wipro Ltd., Computers - Software, 649.50, 646.00, 645.40, 2600960.0, 16893.24, 647.22, 0.91, 651.90, 639.25, 709.90, 580.90, 739.85, 347.10, 22.10, 29.39, 41.06, 9.50, 1.03%, 99.88, 6.51, 2, 355999, 0.15, 5330986.0, 46.05, "Current price is more than the intrinsic value", "Stock has been generating better return on equity than bank FD", "Stock doesn't offer attractive dividend returns", "Good time to consider, as stock is not in overbought zone", "Stock not in ASM/GSM lists and not a lot of promoter holding is pledged"
